String	Airline	Airline name	Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Airline category	Pair	Ground time	Pair class
F3334_SP	F3		JED	1234567	320	J	186	08:15:00		8	D	2040	F3	F3333_SP	0	standard_turn
SV1647_SP	SV		JED	1234567	320	J	144	08:40:00		8	D	2040	SV	SV1644_SP	0	standard_turn
SV1664_SP	SV		RUH	1234567	320	J	144	08:50:00		8	D	2040	SV	SV1663_SP	0	standard_turn
XY426_SP	XY		JED	1234567	32N	J	170	08:50:00		8	D	2040	XY	XY425_SP	0	standard_turn
XY82_SP	XY		RUH	1234567	32N	J	170	08:55:00		8	D	2040	XY	XY81_SP	0	standard_turn
F316_SP	F3		RUH	1234567	320	J	186	11:40:00		11	D	2040	F3	F315_SP	0	standard_turn
XY710_SP	XY		DMM	1234567	32N	J	170	11:50:00		11	D	2040	XY	XY709_SP	0	standard_turn
SV1670_SP	SV		RUH	345	320	J	144	12:35:00		12	D	2040	SV	SV1669_SP	0	standard_turn
QR1213_SP	QR		DOH	4 6	320	J	144	12:40:00		12	D	2040	QR	QR1212_SP	0	standard_turn
FZ816_SP	FZ		DXB	1234567	7M8	J	174	13:15:00		13	D	2040	FZ	FZ815_SP	0	standard_turn
F3338_SP	F3		JED	1234567	320	J	186	13:45:00		13	D	2040	F3	F3337_SP	0	standard_turn
F318_SP	F3		RUH	1234567	320	J	186	14:00:00		14	D	2040	F3	F317_SP	0	standard_turn
SV1649_SP	SV		JED	1234567	320	J	144	14:15:00		14	D	2040	SV	SV1646_SP	0	standard_turn
G9196_SP	G9		SHJ	1234567	320	J	174	15:20:00		15	D	2040	G9	G9195_SP	0	standard_turn
XY90_SP	XY		RUH	1234567	32N	J	170	15:20:00		15	D	2040	XY	XY89_SP	0	standard_turn
SV1672_SP	SV		RUH	4	333	J	298	16:05:00		16	D	2040	SV	SV1671_SP	0	standard_turn
SV1651_SP	SV		JED	2 4 6	333	J	298	16:30:00		16	D	2040	SV	SV1648_SP	0	standard_turn
XY738_SP	XY		DMM	4	32N	J	170	17:10:00		17	D	2040	XY	XY737_SP	0	standard_turn
XY86_SP	XY		RUH	1234567	32N	J	170	17:15:00		17	D	2040	XY	XY85_SP	0	standard_turn
F320_SP	F3		RUH	1234567	320	J	186	17:40:00		17	D	2040	F3	F319_SP	0	standard_turn
F3432_SP	F3		DMM	1234567	320	J	186	17:40:00		17	D	2040	F3	F3431_SP	0	standard_turn
F3342_SP	F3		JED	1234567	320	J	186	18:05:00		18	D	2040	F3	F3341_SP	0	standard_turn
SV1676_SP	SV		RUH	12 4  7	330	J	330	18:35:00		18	D	2040	SV	SV1675_SP	0	standard_turn
FZ814_SP	FZ		DXB	1234567	7M8	J	174	18:55:00		18	D	2040	FZ	FZ813_SP	0	standard_turn
F322_SP	F3		RUH	1234567	320	J	186	19:05:00		19	D	2040	F3	F321_SP	0	standard_turn
SV1653_SP	SV		JED	3456	320	J	144	19:50:00		19	D	2040	SV	SV1650_SP	0	standard_turn
F324_SP	F3		RUH	1234567	320	J	186	20:40:00		20	D	2040	F3	F323_SP	0	standard_turn
XY92_SP	XY		RUH	1234567	32N	J	170	20:55:00		20	D	2040	XY	XY91_SP	0	standard_turn
SV1678_SP	SV		RUH	1234567	320	J	144	21:00:00		21	D	2040	SV	SV1677_SP	0	standard_turn
SV1655_SP	SV		JED	4  7	333	J	288	22:15:00		22	D	2040	SV	SV1652_SP	0	standard_turn
SV1674_SP	SV		RUH	1234567	320	J	144	22:30:00		22	D	2040	SV	SV1673_SP	0	standard_turn
E5512_SP	E5		CAI	2 4	320	J	170	22:50:00		22	D	2040	E5	E5511_SP	0	standard_turn
F3436_SP	F3		DMM	1234567	320	J	186	23:15:00		23	D	2040	F3	F3435_SP	0	standard_turn
F3346_SP	F3		JED	1234567	320	J	186	23:25:00		23	D	2040	F3	F3345_SP	0	standard_turn
3LN2040_1D	3L		cat2		B737	J		07:30:00		7	D	2040	3L	3LN2040_1A	0	standard_turn
5WN2040_1D	5W		cat2		B737	J		07:30:00		7	D	2040	5W	5WN2040_1A	0	standard_turn
