sheet	section	measure	row	split	year	value
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	E		2045	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2025	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2030	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2035	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2040	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2045	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2025	7
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2030	12
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2035	13
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2040	14
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2045	15
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2025	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2030	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2035	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2040	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2045	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2025	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2030	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2035	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2040	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2045	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2025	7
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2030	12
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2035	13
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2040	14
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2045	15
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2025	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2030	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2035	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2040	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2045	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2025	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2030	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2035	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2040	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2045	0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2025	8
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2030	13
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2035	14
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2040	15
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2045	15
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2025	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2030	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2035	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2040	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2045	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2025	1
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2030	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2035	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2040	2
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2045	2
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2025	16
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2030	17
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2035	18
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2040	20
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2045	21
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2025	1
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2030	2
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2035	2
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2040	2
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2045	2
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2025	17
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2030	19
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2035	20
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2040	22
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	Total		2045	23
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	E		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	D		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2025	15
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2030	15
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2035	16
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2040	18
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	C		2045	19
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	B		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2025	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	A		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2025	15
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2030	15
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2035	16
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2040	18
Base	Stands - by Stand Code - New Terminal - Commercial	Overnight Peak	Total		2045	19
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2025	2
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2030	2
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2035	2
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2040	2
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	E		2045	2
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2025	2
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	D		2045	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2025	17
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2030	17
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2035	18
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2040	20
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	C		2045	22
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2025	3
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2030	4
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2035	4
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2040	4
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	B		2045	4
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2025	1
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2030	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2035	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2040	0
Base	Stands - by Stand Code - New Terminal - Commercial	Individual Peak	A		2045	0
Base	Stands - by Stand Code - Commercial	Overall peak	E		2025	0
Base	Stands - by Stand Code - Commercial	Overall peak	E		2030	0
Base	Stands - by Stand Code - Commercial	Overall peak	E		2035	0
Base	Stands - by Stand Code - Commercial	Overall peak	E		2040	0
Base	Stands - by Stand Code - Commercial	Overall peak	E		2045	0
Base	Stands - by Stand Code - Commercial	Overall peak	D		2025	0
Base	Stands - by Stand Code - Commercial	Overall peak	D		2030	0
Base	Stands - by Stand Code - Commercial	Overall peak	D		2035	0
Base	Stands - by Stand Code - Commercial	Overall peak	D		2040	0
Base	Stands - by Stand Code - Commercial	Overall peak	D		2045	0
Base	Stands - by Stand Code - Commercial	Overall peak	C		2025	22
Base	Stands - by Stand Code - Commercial	Overall peak	C		2030	25
Base	Stands - by Stand Code - Commercial	Overall peak	C		2035	28
Base	Stands - by Stand Code - Commercial	Overall peak	C		2040	30
Base	Stands - by Stand Code - Commercial	Overall peak	C		2045	31
Base	Stands - by Stand Code - Commercial	Overall peak	B		2025	0
Base	Stands - by Stand Code - Commercial	Overall peak	B		2030	0
Base	Stands - by Stand Code - Commercial	Overall peak	B		2035	0
Base	Stands - by Stand Code - Commercial	Overall peak	B		2040	0
Base	Stands - by Stand Code - Commercial	Overall peak	B		2045	0
Base	Stands - by Stand Code - Commercial	Overall peak	A		2025	0
Base	Stands - by Stand Code - Commercial	Overall peak	A		2030	0
Base	Stands - by Stand Code - Commercial	Overall peak	A		2035	0
Base	Stands - by Stand Code - Commercial	Overall peak	A		2040	0
Base	Stands - by Stand Code - Commercial	Overall peak	A		2045	0
Base	Stands - by Stand Code - Commercial	Overall peak	Total		2025	22
Base	Stands - by Stand Code - Commercial	Overall peak	Total		2030	25
Base	Stands - by Stand Code - Commercial	Overall peak	Total		2035	28
Base	Stands - by Stand Code - Commercial	Overall peak	Total		2040	30
Base	Stands - by Stand Code - Commercial	Overall peak	Total		2045	31
Base	Stands - by Stand Code - Commercial	Overnight Peak	E		2025	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	E		2030	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	E		2035	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	E		2040	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	E		2045	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	D		2025	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	D		2030	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	D		2035	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	D		2040	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	D		2045	0
Base	Stands - by Stand Code - Commercial	Overnight Peak	C		2025	18
Base	Stands - by Stand Code - Commercial	Overnight Peak	C		2030	21
Base	Stands - by Stand Code - Commercial	Overnight Peak	C		2035	24
Base	Stands - by Stand Code - Commercial	Overnight Peak	C		2040	26
Base	Stands - by Stand Code - Commercial	Overnight Peak	C		2045	28
