sheet	section	measure	row	split	year	value
Base	Stands - by Stand Code - Commercial	Individual Peak	B		2030	1.4
Base	Stands - by Stand Code - Commercial	Individual Peak	C		2030	23.1
Base	Stands - by Stand Code - Commercial	Individual Peak	D		2030	0.0
Base	Stands - by Stand Code - Commercial	Individual Peak	E		2030	1.4
Base	Stands - by Stand Code - Non Commercial	Overall peak	A		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	B		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	C		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	D		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	E		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overall peak	Total		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	A		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	B		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	C		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	D		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	E		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Overnight Peak	Total		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	A		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	B		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	C		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	D		2030	FLAG: GA input
Base	Stands - by Stand Code - Non Commercial	Individual Peak	E		2030	FLAG: GA input
Base	Stands - by Stand Code - Overall	Overall peak	A		2030	2.4
Base	Stands - by Stand Code - Overall	Overall peak	B		2030	7.3
Base	Stands - by Stand Code - Overall	Overall peak	C		2030	25.5
Base	Stands - by Stand Code - Overall	Overall peak	D		2030	0.0
Base	Stands - by Stand Code - Overall	Overall peak	E		2030	0.0
Base	Stands - by Stand Code - Overall	Overall peak	Total		2030	35.2
Base	Stands - by Stand Code - Overall	Overnight Peak	A		2030	2.4
Base	Stands - by Stand Code - Overall	Overnight Peak	B		2030	4.9
Base	Stands - by Stand Code - Overall	Overnight Peak	C		2030	24.3
Base	Stands - by Stand Code - Overall	Overnight Peak	D		2030	0.0
Base	Stands - by Stand Code - Overall	Overnight Peak	E		2030	0.0
Base	Stands - by Stand Code - Overall	Overnight Peak	Total		2030	31.6
Base	Stands - by Stand Code - Overall	Individual Peak	A		2030	3.6
