			String	Airline		Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Country	Region	Airline category	DD region	Other region	Xx	Pair	Ground time	Pax	Transfer	O&D	Chart data	Aircraft code	Type	
			SV1680_SP	SV		RUH		333	J	288		00:30:00	0	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1679_SP	0							
			SV1672_SP	SV		RUH		333	J	298		16:05:00	16	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1671_SP	0							
			SV1651_SP	SV		JED		333	J	298		16:30:00	16	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1648_SP	0							
			SV1655_SP	SV		JED		333	J	288		22:15:00	22	D	2025	Saudi Arabia	Saudi Arabia	SV				SV1652_SP	0							
			XY436_SP	XY		JED		32N	J	170		01:05:00	1	D	2025	Saudi Arabia	Saudi Arabia	XY				XY435_SP	0							
			XY782_SP	XY		TUU		32N	J	170		05:40:00	5	D	2025	Saudi Arabia	Saudi Arabia	XY				XY781_SP	0							
			XY84_SP	XY		RUH		32N	J	170		07:45:00	7	D	2025	Saudi Arabia	Saudi Arabia	XY				XY83_SP	0							
			XY426_SP	XY		JED		32N	J	170		08:50:00	8	D	2025	Saudi Arabia	Saudi Arabia	XY				XY425_SP	0							
			XY82_SP	XY		RUH		32N	J	170		08:55:00	8	D	2025	Saudi Arabia	Saudi Arabia	XY				XY81_SP	0							
			XY710_SP	XY		DMM		32N	J	170		11:50:00	11	D	2025	Saudi Arabia	Saudi Arabia	XY				XY709_SP	0							
			XY90_SP	XY		RUH		32N	J	170		15:20:00	15	D	2025	Saudi Arabia	Saudi Arabia	XY				XY89_SP	0							
			XY738_SP	XY		DMM		32N	J	170		17:10:00	17	D	2025	Saudi Arabia	Saudi Arabia	XY				XY737_SP	0							
			XY86_SP	XY		RUH		32N	J	170		17:15:00	17	D	2025	Saudi Arabia	Saudi Arabia	XY				XY85_SP	0							
			XY92_SP	XY		RUH		32N	J	170		20:55:00	20	D	2025	Saudi Arabia	Saudi Arabia	XY				XY91_SP	0							
